,CODDEPTO,DEPARTAMENTO,CODMPIO,MUNICIPIO,value,year
0,91,AMAZONAS,91263,EL ENCANTO (Cor. Departamental),,1999
1,91,AMAZONAS,91405,LA CHORRERA (Cor. Departamental),,1999
2,91,AMAZONAS,91407,LA PEDRERA (Cor. Departamental),,1999
3,91,AMAZONAS,91430,LA VICTORIA (Pacoa) (Cor. Departamental),,1999
4,91,AMAZONAS,91460,MIRITÍ-PARANÁ (Campoamor) (Cor. Departamental),,1999
5,91,AMAZONAS,91530,PUERTO ALEGRÍA (Cor. Departamental),,1999
6,91,AMAZONAS,91536,PUERTO ARICA (Cor. Departamental),,1999
7,91,AMAZONAS,91669,SANTANDER (Araracuara) (Cor. Departamental),,1999
8,5,ANTIOQUIA,5031,AMALFI,58.97,1999
9,5,ANTIOQUIA,5040,ANORÍ,431.69,1999
10,5,ANTIOQUIA,5045,APARTADÓ,,1999
11,5,ANTIOQUIA,5055,ARGELIA,,1999
12,5,ANTIOQUIA,5107,BRICEÑO,17.88,1999
13,5,ANTIOQUIA,5120,CÁCERES,169.66,1999
14,5,ANTIOQUIA,5134,CAMPAMENTO,,1999
15,5,ANTIOQUIA,5142,CARACOLÍ,,1999
16,5,ANTIOQUIA,5147,CAREPA,,1999
17,5,ANTIOQUIA,5148,CARMEN DE VIBORAL,,1999
18,5,ANTIOQUIA,5154,CAUCASIA,,1999
19,5,ANTIOQUIA,5172,CHIGORODÓ,,1999
20,5,ANTIOQUIA,5197,COCORNÁ,,1999
21,5,ANTIOQUIA,5234,DABEIBA,,1999
22,5,ANTIOQUIA,5237,DON MATÍAS,,1999
23,5,ANTIOQUIA,5250,EL BAGRE,88.63,1999
24,5,ANTIOQUIA,5284,FRONTINO,,1999
25,5,ANTIOQUIA,5310,GÓMEZ PLATA,,1999
26,5,ANTIOQUIA,5361,ITUANGO,223.98,1999
27,5,ANTIOQUIA,5425,MACEO,,1999
28,5,ANTIOQUIA,5475,MURINDÓ,,1999
29,5,ANTIOQUIA,5480,MUTATÁ,,1999
30,5,ANTIOQUIA,5483,NARIÑO,50.42,1999
31,5,ANTIOQUIA,5495,NECHÍ,,1999
32,5,ANTIOQUIA,5490,NECOCLÍ,,1999
33,5,ANTIOQUIA,5579,PUERTO BERRÍO,,1999
34,5,ANTIOQUIA,5585,PUERTO NARE,,1999
35,5,ANTIOQUIA,5591,PUERTO TRIUNFO,,1999
36,5,ANTIOQUIA,5604,REMEDIOS,556.4,1999
37,5,ANTIOQUIA,5628,SABANALARGA,,1999
38,5,ANTIOQUIA,5647,SAN ANDRÉS,1.72,1999
39,5,ANTIOQUIA,5649,SAN CARLOS,,1999
40,5,ANTIOQUIA,5652,SAN FRANCISCO,,1999
41,5,ANTIOQUIA,5660,SAN LUIS,,1999
42,5,ANTIOQUIA,5665,SAN PEDRO DE URABÁ,,1999
43,5,ANTIOQUIA,5667,SAN RAFAEL,,1999
44,5,ANTIOQUIA,5670,SAN ROQUE,,1999
45,5,ANTIOQUIA,5686,SANTA ROSA DE OSOS,7.13,1999
46,5,ANTIOQUIA,5736,SEGOVIA,189.32,1999
47,5,ANTIOQUIA,5756,SONSÓN,,1999
48,5,ANTIOQUIA,5790,TARAZÁ,1020.77,1999
49,5,ANTIOQUIA,5819,TOLEDO,,1999
50,5,ANTIOQUIA,5837,TURBO,,1999
51,5,ANTIOQUIA,5842,URAMITA,,1999
52,5,ANTIOQUIA,5847,URRAO,,1999
53,5,ANTIOQUIA,5854,VALDIVIA,131.77,1999
54,5,ANTIOQUIA,5858,VEGACHÍ,82.47,1999
55,5,ANTIOQUIA,5873,VIGÍA DEL FUERTE,,1999
56,5,ANTIOQUIA,5885,YALÍ,106.34,1999
57,5,ANTIOQUIA,5887,YARUMAL,,1999
58,5,ANTIOQUIA,5890,YOLOMBÓ,,1999
59,5,ANTIOQUIA,5893,YONDÓ (Casabe),430.0,1999
60,5,ANTIOQUIA,5895,ZARAGOZA,76.7,1999
61,81,ARAUCA,81065,ARAUQUITA,,1999
62,81,ARAUCA,81300,FORTUL,,1999
63,81,ARAUCA,81591,PUERTO RONDÓN,,1999
64,81,ARAUCA,81736,SARAVENA,,1999
65,81,ARAUCA,81794,TAME,,1999
66,13,BOLÍVAR,13006,ACHÍ,,1999
67,13,BOLÍVAR,13030,ALTOS DEL ROSARIO,,1999
68,13,BOLÍVAR,13042,ARENAL,,1999
69,13,BOLÍVAR,13074,BARRANCO DE LOBA,,1999
70,13,BOLÍVAR,13160,CANTAGALLO,1904.51,1999
71,13,BOLÍVAR,13268,EL PEÑÓN,,1999
72,13,BOLÍVAR,13458,MONTECRISTO,,1999
